"id";"pieza_ordenador";"precio";"pais_origen"
"   72P7O ";"Disco duro, Seagate";"T646,20 £";"Tailandia"
"  86LHY  ";"Memoria RAM, Kingston";"868,54 TL";"Corea del Sur"
"   LVLFM ";"Procesador, Intel";"719,63 TL";"Estados Unidos"
"  6Z9KU ";"Disco duro, Seagate";"876,77 €";"Corea del Sur"
"   2Z7OT ";"Placa base, ASUS";"68,37 €";"Taiwán"
"  80RNP   ";"Placa base, ASUS";"848,13 €";"Corea del Sur"
"  A5M42 ";"Memoria RAM, Kingston";"643,97 €";"Tailandia"
"   09HYC   ";"Tarjeta gráfica, NVIDIA";"125,60 TL";"Corea del Sur"
" 7O4CS ";"Procesador, Intel";"266,84 €";"China"
" TTFGL ";"Procesador, Intel";"357,29 £";"Tailandia"
"  O7G5Y ";"Disco duro, Seagate";"820,55 TL";"Estados Unidos"
"   6KO7C  ";"Placa base, ASUS";"279,80 TL";"Taiwán"
"  KSRJS   ";"Disco duro, Seagate";"608,96 £";"Taiwán"
" 9RJUC   ";"Placa base, ASUS";"15,19 TL";"Estados Unidos"
"   ZOVFP ";"Memoria RAM, Kingston";"379,38 TL";"Taiwán"
"   E2719  ";"Procesador, Intel";"326,84 TL";"Corea del Sur"
"   NVJXA  ";"Disco duro, Seagate";"814,32 £";"Taiwán"
" R1AK4   ";"Disco duro, Seagate";"589,35 €";"Tailandia"
"   EKY74   ";"Memoria RAM, Kingston";"637,53 €";"Taiwán"
"   74BIP ";"Tarjeta gráfica, NVIDIA";"948,28 €";"Tailandia"
"  9YTRL   ";"Procesador, Intel";"979,21 €";"Taiwán"
"  RQVVW  ";"Tarjeta gráfica, NVIDIA";"T134,70 £";"China"
"   G6K7D  ";"Procesador, Intel";"540,87 £";"Corea del Sur"
"  WWN16  ";"Placa base, ASUS";"362,89 £";"Tailandia"
"  G1W8W  ";"Placa base, ASUS";"909,92 €";"Corea del Sur"
"   KKO4M  ";"Tarjeta gráfica, NVIDIA";"245,70 £";"Tailandia"
"   VY8RW ";"Tarjeta gráfica, NVIDIA";"204,74 £";"Taiwán"
"   HWOEZ   ";"Memoria RAM, Kingston";"860,96 TL";"Tailandia"
"  SBLF7   ";"Placa base, ASUS";"149,84 £";"Estados Unidos"
" P0M5H  ";"Memoria RAM, Kingston";"128,52 €";"China"
"   VZFVZ ";"Placa base, ASUS";"768,54 TL";"China"
"   ELDXM  ";"Procesador, Intel";"763,49 TL";"Estados Unidos"
"  XM7H9  ";"Placa base, ASUS";"406,30 €";"China"
" GS723   ";"Disco duro, Seagate";"697,14 TL";"China"
" A9DAV   ";"Memoria RAM, Kingston";"464,72 €";"Taiwán"
"  TFL4U  ";"Procesador, Intel";"996,15 €";"China"
"   8RVTF  ";"Memoria RAM, Kingston";"474,42 TL";"Estados Unidos"
"  5W5GF ";"Memoria RAM, Kingston";"425,80 TL";"China"
"  JCJ3N ";"Memoria RAM, Kingston";"a597,95 £";"China"
"   F4SIT   ";"Disco duro, Seagate";"771,29 £";"Taiwán"
" QC9KU ";"Tarjeta gráfica, NVIDIA";"488,61 TL";"Estados Unidos"
"  VMT23  ";"Disco duro, Seagate";"821,48 €";"Corea del Sur"
" V5C21   ";"Disco duro, Seagate";"882,64 TL";"Corea del Sur"
"  SWOK1 ";"Procesador, Intel";"13,25 €";"Corea del Sur"
"   5M0ZY   ";"Tarjeta gráfica, NVIDIA";"785,98 €";"Tailandia"
"  3DRX1  ";"Placa base, ASUS";"376,27 £";"China"
" JITNI ";"Tarjeta gráfica, NVIDIA";"475,20 €";"Tailandia"
" SDH37   ";"Tarjeta gráfica, NVIDIA";"563,62 £";"Corea del Sur"
"  ZTGIS ";"Tarjeta gráfica, NVIDIA";"690,82 TL";"Taiwán"
"  EFEFC ";"Procesador, Intel";"711,53 TL";"Estados Unidos"
"  BIGJA ";"Disco duro, Seagate";"1000,30 €";"Corea del Sur"
"  YANP8   ";"Memoria RAM, Kingston";"374,45 £";"Tailandia"
" G2JW9 ";"Disco duro, Seagate";"267,69 £";"China"
"   YQIYY ";"Disco duro, Seagate";"531,83 €";"Estados Unidos"
"  M5SKW ";"Memoria RAM, Kingston";"22,70 €";"Estados Unidos"
" YI46K  ";"Memoria RAM, Kingston";"390,55 £";"China"
"  Y86DT ";"Placa base, ASUS";"39,55 €";"Tailandia"
"  0PIJ0  ";"Placa base, ASUS";"87,22 £";"Taiwán"
"   S7RRB ";"Tarjeta gráfica, NVIDIA";"910,21 £";"Estados Unidos"
" RF5ZC  ";"Disco duro, Seagate";"726,60 €";"Corea del Sur"
" XO4CH  ";"Placa base, ASUS";"440,26 £";"Taiwán"
"  Q0T3L   ";"Procesador, Intel";"632,37 £";"Estados Unidos"
"   40A7Q  ";"Memoria RAM, Kingston";"178,90 TL";"Estados Unidos"
"   4UW2Y  ";"Placa base, ASUS";"264,49 £";"Taiwán"
" EVV7O  ";"Procesador, Intel";"114,21 £";"Estados Unidos"
"  AHJJC  ";"Procesador, Intel";"361,46 €";"Estados Unidos"
" UV01G   ";"Tarjeta gráfica, NVIDIA";"608,61 TL";"Corea del Sur"
"   7UFJZ ";"Placa base, ASUS";"836,33 £";"Tailandia"
"   J19PD   ";"Memoria RAM, Kingston";"225,73 £";"Taiwán"
" MV0H1   ";"Placa base, ASUS";"168,96 £";"Estados Unidos"
" OABQE   ";"Procesador, Intel";"381,59 TL";"Tailandia"
" 3PVFO ";"Memoria RAM, Kingston";"414,28 TL";"Estados Unidos"
"   CK6YK ";"Placa base, ASUS";"785,22 €";"Estados Unidos"
" CQM1H  ";"Disco duro, Seagate";"54,69 €";"China"
"   SSCCS  ";"Tarjeta gráfica, NVIDIA";"584,40 TL";"Corea del Sur"
"  V84L2   ";"Placa base, ASUS";"295,25 €";"Tailandia"
"  DVDB5  ";"Placa base, ASUS";"595,43 €";"Tailandia"
"  DTQ9Y  ";"Tarjeta gráfica, NVIDIA";"340,39 £";"Estados Unidos"
"  QROF7 ";"Disco duro, Seagate";"35,47 TL";"Corea del Sur"
"  Z0T5Q  ";"Disco duro, Seagate";"371,11 €";"Taiwán"
"  0B2V7 ";"Placa base, ASUS";"846,80 €";"Corea del Sur"
"  G3U7R   ";"Disco duro, Seagate";"931,86 €";"China"
"  2315L   ";"Disco duro, Seagate";"638,43 TL";"Taiwán"
" 4T36R   ";"Procesador, Intel";"227,27 £";"Taiwán"
" 2PG2W  ";"Memoria RAM, Kingston";"w753,53 £";"Tailandia"
" Y6WD3  ";"Memoria RAM, Kingston";"372,41 £";"China"
"   ET1YM ";"Tarjeta gráfica, NVIDIA";"87,83 TL";"Corea del Sur"
"   EOB10 ";"Procesador, Intel";"16,82 TL";"Corea del Sur"
"   SG6Z4  ";"Placa base, ASUS";"279,60 TL";"Corea del Sur"
"   3XYED ";"Procesador, Intel";"250,67 TL";"Tailandia"
"  6S6IJ ";"Memoria RAM, Kingston";"251,37 €";"Estados Unidos"
" 26NF3 ";"Tarjeta gráfica, NVIDIA";"695,78 TL";"Taiwán"
" WCIPU  ";"Memoria RAM, Kingston";"567,31 TL";"Corea del Sur"
"   K6EN3 ";"Tarjeta gráfica, NVIDIA";"861,17 €";"Tailandia"
" QN2QK   ";"Tarjeta gráfica, NVIDIA";"35,98 TL";"Tailandia"
"  3AFG9   ";"Memoria RAM, Kingston";"e769,62 £";"Estados Unidos"
"  RW9OL  ";"Placa base, ASUS";"386,27 £";"Corea del Sur"
"   02OQD   ";"Tarjeta gráfica, NVIDIA";"645,23 £";"Taiwán"
"   GT80V   ";"Procesador, Intel";"248,87 £";"China"
"   92GZR   ";"Memoria RAM, Kingston";"977,71 TL";"Corea del Sur"
"   JWFW7 ";"Procesador, Intel";"g134,41 €";"Taiwán"
"   DHOVY  ";"Tarjeta gráfica, NVIDIA";"267,56 TL";"Tailandia"
"   RXB7X  ";"Placa base, ASUS";"446,28 €";"Taiwán"
" FI2VO ";"Tarjeta gráfica, NVIDIA";"600,70 €";"Taiwán"
"  JTMI6  ";"Tarjeta gráfica, NVIDIA";"754,72 £";"China"
"  RJFAT ";"Procesador, Intel";"914,97 £";"Taiwán"
"   1J7AQ ";"Placa base, ASUS";"877,80 €";"Corea del Sur"
"  B4B7B ";"Memoria RAM, Kingston";"196,52 £";"Taiwán"
" 9BCQF  ";"Placa base, ASUS";"412,73 €";"Estados Unidos"
" W73M5  ";"Memoria RAM, Kingston";"442,52 €";"Tailandia"
"   A82GG ";"Disco duro, Seagate";"886,26 TL";"Taiwán"
" CND5P ";"Procesador, Intel";"598,36 TL";"China"
" HVMVN   ";"Procesador, Intel";"413,48 £";"Tailandia"
" 6XNYO   ";"Memoria RAM, Kingston";"552,13 TL";"China"
"  5CB10   ";"Memoria RAM, Kingston";"966,33 €";"Tailandia"
"   3MHA7 ";"Memoria RAM, Kingston";"128,57 £";"Corea del Sur"
" OH9PT  ";"Memoria RAM, Kingston";"929,58 TL";"Estados Unidos"
"  J670R ";"Placa base, ASUS";"36,20 €";"Estados Unidos"
" YCCJE   ";"Procesador, Intel";"420,99 £";"Taiwán"
"  EUYM6 ";"Memoria RAM, Kingston";"370,68 €";"Corea del Sur"
" 5R5C0   ";"Tarjeta gráfica, NVIDIA";"Y779,51 TL";"China"
"   AK3JG  ";"Memoria RAM, Kingston";"559,57 £";"Estados Unidos"
" 3N5FW   ";"Memoria RAM, Kingston";"968,67 TL";"Tailandia"
" GPQ7G   ";"Memoria RAM, Kingston";"288,39 €";"Corea del Sur"
"  GU80N  ";"Memoria RAM, Kingston";"932,12 £";"China"
"   U9042   ";"Memoria RAM, Kingston";"26,77 TL";"China"
" QG2M4 ";"Procesador, Intel";"218,75 €";"Tailandia"
"   IB0AS  ";"Disco duro, Seagate";"799,87 £";"Corea del Sur"
"   J5H9U  ";"Memoria RAM, Kingston";"901,41 €";"Tailandia"
" G2SA7 ";"Memoria RAM, Kingston";"430,62 TL";"Tailandia"
" 0L7MA ";"Tarjeta gráfica, NVIDIA";"333,10 TL";"Taiwán"
" 2W1IF ";"Memoria RAM, Kingston";"844,67 TL";"China"
"  LDGCC ";"Placa base, ASUS";"543,74 €";"Estados Unidos"
" AAIPF   ";"Disco duro, Seagate";"929,79 £";"Taiwán"
"  29K0L   ";"Disco duro, Seagate";"337,14 £";"Corea del Sur"
"  EUP4O ";"Procesador, Intel";"746,50 €";"Tailandia"
" 8PHV4   ";"Tarjeta gráfica, NVIDIA";"153,10 £";"Estados Unidos"
"  90JTZ   ";"Placa base, ASUS";"V906,79 £";"Corea del Sur"
"  ADYXE ";"Tarjeta gráfica, NVIDIA";"788,50 €";"China"
"  0GSE4 ";"Memoria RAM, Kingston";"468,75 €";"Corea del Sur"
"   EX1SM ";"Memoria RAM, Kingston";"988,30 TL";"Tailandia"
" JP5RA ";"Memoria RAM, Kingston";"857,76 £";"China"
"  TWV0Q  ";"Placa base, ASUS";"271,60 £";"Tailandia"
"   C87V6   ";"Procesador, Intel";"936,84 €";"Tailandia"
" 1ZLIX  ";"Procesador, Intel";"667,94 £";"Estados Unidos"
"  MCQDN  ";"Memoria RAM, Kingston";"930,14 TL";"Estados Unidos"
" 5IDOS   ";"Tarjeta gráfica, NVIDIA";"89,48 £";"Tailandia"
" GY1OB ";"Disco duro, Seagate";"207,11 £";"China"
" FQ3XI ";"Disco duro, Seagate";"338,12 €";"China"
"  S8LK8  ";"Placa base, ASUS";"775,49 £";"Tailandia"
" 5I0UH ";"Procesador, Intel";"804,51 €";"Taiwán"
"  K1J7B ";"Disco duro, Seagate";"660,37 £";"Estados Unidos"
"   7XCF3   ";"Procesador, Intel";"376,90 TL";"China"
" PIM52  ";"Procesador, Intel";"574,35 €";"China"
"  YWHAS  ";"Procesador, Intel";"14,96 €";"Estados Unidos"
"  NAVKE ";"Placa base, ASUS";"927,16 TL";"Tailandia"
"  UJZET  ";"Procesador, Intel";"529,48 £";"Taiwán"
" HIMHE   ";"Memoria RAM, Kingston";"320,63 £";"Tailandia"
"   8343Q  ";"Disco duro, Seagate";"768,75 £";"Estados Unidos"
" ER6V4 ";"Tarjeta gráfica, NVIDIA";"S624,60 £";"Taiwán"
"   MCN7U   ";"Tarjeta gráfica, NVIDIA";"730,34 €";"China"
" LHU7K ";"Tarjeta gráfica, NVIDIA";"611,18 €";"China"
"   N4P2A ";"Tarjeta gráfica, NVIDIA";"613,64 £";"Taiwán"
"   DH7I0   ";"Memoria RAM, Kingston";"l223,73 €";"Corea del Sur"
"  RX3P0   ";"Placa base, ASUS";"114,63 £";"Taiwán"
"   6IH7T ";"Tarjeta gráfica, NVIDIA";"32,43 €";"Tailandia"
"   UYIK0  ";"Disco duro, Seagate";"472,92 £";"Tailandia"
"  V8LCN ";"Tarjeta gráfica, NVIDIA";"912,48 £";"Estados Unidos"
"  VUJAC ";"Procesador, Intel";"163,72 TL";"Estados Unidos"
"   9XHJH  ";"Tarjeta gráfica, NVIDIA";"31,93 TL";"Corea del Sur"
"  PWRVW ";"Procesador, Intel";"560,20 £";"Corea del Sur"
"   GLI1Z ";"Placa base, ASUS";"248,80 €";"Estados Unidos"
"  KALX6  ";"Tarjeta gráfica, NVIDIA";"292,96 £";"Estados Unidos"
" S5F3E ";"Disco duro, Seagate";"17,29 €";"China"
"   LET43  ";"Memoria RAM, Kingston";"423,52 TL";"Taiwán"
"  DTAZY  ";"Disco duro, Seagate";"813,11 €";"Tailandia"
" G2PEC   ";"Tarjeta gráfica, NVIDIA";"T986,63 €";"Corea del Sur"
" UTCWV  ";"Tarjeta gráfica, NVIDIA";"186,99 TL";"Tailandia"
"   LOX0A   ";"Tarjeta gráfica, NVIDIA";"292,86 €";"Corea del Sur"
" 5T35B   ";"Procesador, Intel";"764,90 £";"Tailandia"
"   8HRBQ  ";"Placa base, ASUS";"768,61 €";"Taiwán"
" RGZEP   ";"Tarjeta gráfica, NVIDIA";"21,47 TL";"Tailandia"
"   AIZRY   ";"Procesador, Intel";"190,20 £";"Estados Unidos"
" BGSMH   ";"Memoria RAM, Kingston";"209,68 €";"Corea del Sur"
"  W4UQ5 ";"Tarjeta gráfica, NVIDIA";"371,73 €";"Estados Unidos"
"   SB0NF  ";"Disco duro, Seagate";"684,50 €";"Taiwán"
"   ABIJE   ";"Memoria RAM, Kingston";"464,81 TL";"China"
"   CF8X6 ";"Disco duro, Seagate";"T923,23 €";"Estados Unidos"
"  Q9N5V ";"Disco duro, Seagate";"491,63 £";"Taiwán"
"  2IWUF  ";"Placa base, ASUS";"421,26 TL";"Corea del Sur"
" ILUJK  ";"Placa base, ASUS";"597,26 TL";"Tailandia"
"  JXZLL   ";"Tarjeta gráfica, NVIDIA";"723,40 £";"China"
" MXV2O  ";"Tarjeta gráfica, NVIDIA";"996,42 TL";"China"
" ASH13   ";"Memoria RAM, Kingston";"11,25 €";"Estados Unidos"
"  LKK8D   ";"Procesador, Intel";"686,49 TL";"Taiwán"
"  KJRL8   ";"Procesador, Intel";"O279,39 £";"Estados Unidos"
"  YBVAB   ";"Memoria RAM, Kingston";"914,59 TL";"Tailandia"
"   FE6FJ  ";"Memoria RAM, Kingston";"278,56 £";"Corea del Sur"
"   XU493   ";"Disco duro, Seagate";"228,81 £";"China"
"   T7AAJ   ";"Placa base, ASUS";"823,43 €";"China"
"  H4SEQ  ";"Memoria RAM, Kingston";"694,48 TL";"Estados Unidos"
"  2KC8A   ";"Placa base, ASUS";"844,12 €";"Tailandia"
